alert_id,transaction_id,sender_account,receiver_account,transaction_amount,final_risk_score,risk_level,alert_type,alert_generated_at,recommended_action,alert_status
ALT000018,T000473,A0351,A0433,77370,80.43,HIGH,High Risk Alert,2025-01-01 09:18:00,Manual Review,Resolved
ALT000019,T000482,A0083,A0394,119551,91.75,HIGH,Critical Fraud Alert,2025-01-01 09:19:00,Block Transaction,Under Review
ALT000020,T000489,A0458,A0375,303483,76.75,HIGH,Medium Risk Alert,2025-01-01 09:20:00,Monitor,Under Review
ALT000021,T000500,A0114,A0108,78469,79.81,HIGH,Medium Risk Alert,2025-01-01 09:21:00,Monitor,Open
ALT000022,T000612,A0051,A0491,90616,93.25,HIGH,Critical Fraud Alert,2025-01-01 09:22:00,Block Transaction,Open
ALT000023,T000690,A0380,A0011,197198,90.75,HIGH,Critical Fraud Alert,2025-01-01 09:23:00,Block Transaction,Open
ALT000024,T000714,A0272,A0024,52937,76.51,HIGH,Medium Risk Alert,2025-01-01 09:24:00,Monitor,Under Review
ALT000025,T000748,A0181,A0394,156194,87.72,HIGH,High Risk Alert,2025-01-01 09:25:00,Manual Review,Open
ALT000026,T000758,A0378,A0341,225015,76.0,HIGH,Medium Risk Alert,2025-01-01 09:26:00,Monitor,Open
ALT000027,T000797,A0133,A0483,72820,75.89,HIGH,Medium Risk Alert,2025-01-01 09:27:00,Monitor,Resolved
ALT000028,T000848,A0023,A0344,161653,92.5,HIGH,Critical Fraud Alert,2025-01-01 09:28:00,Block Transaction,Under Review
ALT000029,T000865,A0066,A0457,83462,81.08,HIGH,High Risk Alert,2025-01-01 09:29:00,Manual Review,Open
ALT000030,T000896,A0203,A0109,194215,91.5,HIGH,Critical Fraud Alert,2025-01-01 09:30:00,Block Transaction,Open
ALT000031,T000946,A0430,A0024,151403,90.25,HIGH,Critical Fraud Alert,2025-01-01 09:31:00,Block Transaction,Open
ALT000032,T000962,A0105,A0344,79343,77.6,HIGH,Medium Risk Alert,2025-01-01 09:32:00,Monitor,Resolved
ALT000033,T000965,A0140,A0271,263542,77.5,HIGH,Medium Risk Alert,2025-01-01 09:33:00,Monitor,Open
ALT000034,T000980,A0111,A0465,90556,93.0,HIGH,Critical Fraud Alert,2025-01-01 09:34:00,Block Transaction,Open
ALT000035,T000982,A0333,A0465,69319,78.71,HIGH,Medium Risk Alert,2025-01-01 09:35:00,Monitor,Open
ALT000036,T001041,A0333,A0024,86942,82.44,HIGH,High Risk Alert,2025-01-01 09:36:00,Manual Review,Open
ALT000037,T001118,A0342,A0108,185594,89.5,HIGH,High Risk Alert,2025-01-01 09:37:00,Manual Review,Under Review
ALT000038,T001124,A0034,A0079,131916,89.0,HIGH,High Risk Alert,2025-01-01 09:38:00,Manual Review,Resolved
ALT000039,T001149,A0199,A0238,65814,91.0,HIGH,Critical Fraud Alert,2025-01-01 09:39:00,Block Transaction,Under Review
ALT000040,T001201,A0007,A0011,67425,91.75,HIGH,Critical Fraud Alert,2025-01-01 09:40:00,Block Transaction,Under Review
ALT000041,T001222,A0340,A0141,179768,76.75,HIGH,Medium Risk Alert,2025-01-01 09:41:00,Monitor,Open
ALT000042,T001228,A0400,A0237,95804,86.7,HIGH,High Risk Alert,2025-01-01 09:42:00,Manual Review,Open
ALT000043,T001274,A0258,A0394,119579,91.5,HIGH,Critical Fraud Alert,2025-01-01 09:43:00,Block Transaction,Open
ALT000044,T001276,A0315,A0395,219122,76.0,HIGH,Medium Risk Alert,2025-01-01 09:44:00,Monitor,Open
ALT000045,T001316,A0283,A0344,167386,90.0,HIGH,Critical Fraud Alert,2025-01-01 09:45:00,Block Transaction,Under Review
ALT000046,T001317,A0223,A0238,124647,94.25,HIGH,Critical Fraud Alert,2025-01-01 09:46:00,Block Transaction,Resolved
ALT000047,T001366,A0006,A0126,227845,77.0,HIGH,Medium Risk Alert,2025-01-01 09:47:00,Monitor,Under Review
ALT000048,T001367,A0466,A0481,303634,78.75,HIGH,Medium Risk Alert,2025-01-01 09:48:00,Monitor,Under Review
ALT000049,T001374,A0191,A0443,91556,88.62,HIGH,High Risk Alert,2025-01-01 09:49:00,Manual Review,Under Review
ALT000050,T001376,A0438,A0353,108639,89.04,HIGH,High Risk Alert,2025-01-01 09:50:00,Manual Review,Open
ALT000051,T001390,A0438,A0220,59743,82.03,HIGH,High Risk Alert,2025-01-01 09:51:00,Manual Review,Open
ALT000052,T001428,A0151,A0483,191101,90.0,HIGH,Critical Fraud Alert,2025-01-01 09:52:00,Block Transaction,Open
ALT000053,T001433,A0164,A0234,174013,84.47,HIGH,High Risk Alert,2025-01-01 09:53:00,Manual Review,Under Review
ALT000054,T001484,A0112,A0238,162344,89.5,HIGH,High Risk Alert,2025-01-01 09:54:00,Manual Review,Resolved
ALT000055,T001517,A0499,A0191,405545,75.25,HIGH,Medium Risk Alert,2025-01-01 09:55:00,Monitor,Under Review
ALT000056,T001549,A0386,A0353,173081,86.39,HIGH,High Risk Alert,2025-01-01 09:56:00,Manual Review,Open
ALT000057,T001596,A0058,A0443,143776,90.5,HIGH,Critical Fraud Alert,2025-01-01 09:57:00,Block Transaction,Under Review
ALT000058,T001597,A0385,A0465,106858,94.0,HIGH,Critical Fraud Alert,2025-01-01 09:58:00,Block Transaction,Under Review
ALT000059,T001604,A0086,A0443,114678,94.0,HIGH,Critical Fraud Alert,2025-01-01 09:59:00,Block Transaction,Open
ALT000060,T001673,A0366,A0238,142045,84.02,HIGH,High Risk Alert,2025-01-01 10:00:00,Manual Review,Open
ALT000061,T001695,A0338,A0177,198371,94.75,HIGH,Critical Fraud Alert,2025-01-01 10:01:00,Block Transaction,Resolved
ALT000062,T001785,A0316,A0088,171484,94.25,HIGH,Critical Fraud Alert,2025-01-01 10:02:00,Block Transaction,Open
ALT000063,T001841,A0134,A0347,162373,91.0,HIGH,Critical Fraud Alert,2025-01-01 10:03:00,Block Transaction,Under Review
ALT000064,T001856,A0395,A0056,96112,91.07,HIGH,Critical Fraud Alert,2025-01-01 10:04:00,Block Transaction,Open
ALT000065,T001879,A0460,A0344,54734,75.37,HIGH,Medium Risk Alert,2025-01-01 10:05:00,Monitor,Open
ALT000066,T001959,A0094,A0220,199694,90.0,HIGH,Critical Fraud Alert,2025-01-01 10:06:00,Block Transaction,Open
ALT000067,T001977,A0183,A0353,181630,89.0,HIGH,High Risk Alert,2025-01-01 10:07:00,Manual Review,Under Review
ALT000068,T002010,A0149,A0394,72893,84.09,HIGH,High Risk Alert,2025-01-01 10:08:00,Manual Review,Open
ALT000069,T002017,A0486,A0257,86691,78.41,HIGH,Medium Risk Alert,2025-01-01 10:09:00,Monitor,Under Review
ALT000070,T002032,A0421,A0205,153800,80.75,HIGH,High Risk Alert,2025-01-01 10:10:00,Manual Review,Open
ALT000071,T002148,A0284,A0004,97868,94.0,HIGH,Critical Fraud Alert,2025-01-01 10:11:00,Block Transaction,Open
ALT000072,T002183,A0078,A0109,103626,77.2,HIGH,Medium Risk Alert,2025-01-01 10:12:00,Monitor,Under Review
ALT000073,T002201,A0410,A0457,101566,88.57,HIGH,High Risk Alert,2025-01-01 10:13:00,Manual Review,Open
ALT000074,T002222,A0293,A0056,60357,79.66,HIGH,Medium Risk Alert,2025-01-01 10:14:00,Monitor,Open
ALT000075,T002289,A0258,A0365,203147,75.25,HIGH,Medium Risk Alert,2025-01-01 10:15:00,Monitor,Under Review
ALT000076,T002316,A0405,A0065,165971,89.75,HIGH,High Risk Alert,2025-01-01 10:16:00,Manual Review,Open
ALT000077,T002317,A0075,A0308,128084,93.5,HIGH,Critical Fraud Alert,2025-01-01 10:17:00,Block Transaction,Open
ALT000078,T002360,A0331,A0483,180578,90.5,HIGH,Critical Fraud Alert,2025-01-01 10:18:00,Block Transaction,Resolved
ALT000079,T002409,A0039,A0254,138283,89.5,HIGH,High Risk Alert,2025-01-01 10:19:00,Manual Review,Open
ALT000080,T002422,A0479,A0433,125078,89.25,HIGH,High Risk Alert,2025-01-01 10:20:00,Manual Review,Resolved
ALT000081,T002466,A0457,A0254,183698,76.91,HIGH,Medium Risk Alert,2025-01-01 10:21:00,Monitor,Open
ALT000082,T002511,A0130,A0108,112464,92.22,HIGH,Critical Fraud Alert,2025-01-01 10:22:00,Block Transaction,Resolved
ALT000083,T002516,A0396,A0088,169087,92.75,HIGH,Critical Fraud Alert,2025-01-01 10:23:00,Block Transaction,Open
ALT000084,T002521,A0169,A0433,59691,86.56,HIGH,High Risk Alert,2025-01-01 10:24:00,Manual Review,Open
ALT000085,T002618,A0066,A0024,72811,78.16,HIGH,Medium Risk Alert,2025-01-01 10:25:00,Monitor,Under Review
ALT000086,T002672,A0290,A0491,81028,89.16,HIGH,High Risk Alert,2025-01-01 10:26:00,Manual Review,Open
ALT000087,T002685,A0125,A0056,138137,91.75,HIGH,Critical Fraud Alert,2025-01-01 10:27:00,Block Transaction,Under Review
ALT000088,T002702,A0380,A0237,187107,91.25,HIGH,Critical Fraud Alert,2025-01-01 10:28:00,Block Transaction,Open
ALT000089,T002707,A0346,A0257,58725,88.75,HIGH,High Risk Alert,2025-01-01 10:29:00,Manual Review,Open
ALT000090,T002711,A0060,A0433,110700,94.5,HIGH,Critical Fraud Alert,2025-01-01 10:30:00,Block Transaction,Open
ALT000091,T002725,A0424,A0394,54471,82.47,HIGH,High Risk Alert,2025-01-01 10:31:00,Manual Review,Under Review
ALT000092,T002795,A0249,A0056,149802,94.5,HIGH,Critical Fraud Alert,2025-01-01 10:32:00,Block Transaction,Open
ALT000093,T002813,A0448,A0308,99482,92.0,HIGH,Critical Fraud Alert,2025-01-01 10:33:00,Block Transaction,Open
ALT000094,T002826,A0271,A0234,151082,92.0,HIGH,Critical Fraud Alert,2025-01-01 10:34:00,Block Transaction,Open
ALT000095,T002832,A0007,A0237,72163,92.5,HIGH,Critical Fraud Alert,2025-01-01 10:35:00,Block Transaction,Resolved
ALT000096,T002842,A0251,A0319,352236,78.0,HIGH,Medium Risk Alert,2025-01-01 10:36:00,Monitor,Under Review
ALT000097,T002845,A0154,A0094,263185,78.0,HIGH,Medium Risk Alert,2025-01-01 10:37:00,Monitor,Under Review
ALT000098,T002909,A0070,A0299,176521,92.75,HIGH,Critical Fraud Alert,2025-01-01 10:38:00,Block Transaction,Open
ALT000099,T002913,A0430,A0443,156485,91.5,HIGH,Critical Fraud Alert,2025-01-01 10:39:00,Block Transaction,Under Review
ALT000100,T003021,A0144,A0257,87343,84.64,HIGH,High Risk Alert,2025-01-01 10:40:00,Manual Review,Under Review
ALT000101,T003062,A0482,A0445,202675,77.5,HIGH,Medium Risk Alert,2025-01-01 10:41:00,Monitor,Under Review
ALT000102,T003143,A0478,A0254,168743,94.75,HIGH,Critical Fraud Alert,2025-01-01 10:42:00,Block Transaction,Open
ALT000103,T003173,A0317,A0443,179389,89.25,HIGH,High Risk Alert,2025-01-01 10:43:00,Manual Review,Open
ALT000104,T003184,A0081,A0108,98423,89.55,HIGH,High Risk Alert,2025-01-01 10:44:00,Manual Review,Under Review
ALT000105,T003185,A0052,A0024,175101,83.38,HIGH,High Risk Alert,2025-01-01 10:45:00,Manual Review,Under Review
ALT000106,T003235,A0368,A0079,134885,87.2,HIGH,High Risk Alert,2025-01-01 10:46:00,Manual Review,Resolved
ALT000107,T003295,A0373,A0088,85407,92.64,HIGH,Critical Fraud Alert,2025-01-01 10:47:00,Block Transaction,Open
ALT000108,T003349,A0132,A0433,112118,80.26,HIGH,High Risk Alert,2025-01-01 10:48:00,Manual Review,Under Review
ALT000109,T003410,A0116,A0353,151316,87.7,HIGH,High Risk Alert,2025-01-01 10:49:00,Manual Review,Open
ALT000110,T003437,A0094,A0237,175371,93.75,HIGH,Critical Fraud Alert,2025-01-01 10:50:00,Block Transaction,Open
ALT000111,T003511,A0319,A0098,212449,77.0,HIGH,Medium Risk Alert,2025-01-01 10:51:00,Monitor,Resolved
ALT000112,T003538,A0300,A0321,205346,75.0,HIGH,Medium Risk Alert,2025-01-01 10:52:00,Monitor,Under Review
ALT000113,T003543,A0255,A0249,172328,75.74,HIGH,Medium Risk Alert,2025-01-01 10:53:00,Monitor,Open
ALT000114,T003562,A0286,A0394,180571,92.75,HIGH,Critical Fraud Alert,2025-01-01 10:54:00,Block Transaction,Open
ALT000115,T003595,A0132,A0080,494406,80.25,HIGH,High Risk Alert,2025-01-01 10:55:00,Manual Review,Under Review
ALT000116,T003612,A0006,A0347,146933,84.18,HIGH,High Risk Alert,2025-01-01 10:56:00,Manual Review,Under Review
ALT000117,T003661,A0437,A0011,124565,91.5,HIGH,Critical Fraud Alert,2025-01-01 10:57:00,Block Transaction,Under Review
ALT000118,T003669,A0434,A0056,129760,92.0,HIGH,Critical Fraud Alert,2025-01-01 10:58:00,Block Transaction,Open
ALT000119,T003727,A0434,A0394,170478,91.5,HIGH,Critical Fraud Alert,2025-01-01 10:59:00,Block Transaction,Under Review
ALT000120,T003730,A0478,A0285,111987,84.12,HIGH,High Risk Alert,2025-01-01 11:00:00,Manual Review,Resolved
ALT000121,T003741,A0002,A0491,91830,89.0,HIGH,High Risk Alert,2025-01-01 11:01:00,Manual Review,Under Review
ALT000122,T003754,A0376,A0097,218717,76.75,HIGH,Medium Risk Alert,2025-01-01 11:02:00,Monitor,Open
ALT000123,T003765,A0079,A0024,192594,75.39,HIGH,Medium Risk Alert,2025-01-01 11:03:00,Monitor,Open
ALT000124,T003828,A0332,A0200,249569,75.5,HIGH,Medium Risk Alert,2025-01-01 11:04:00,Monitor,Under Review
ALT000125,T003831,A0366,A0130,318272,80.75,HIGH,High Risk Alert,2025-01-01 11:05:00,Manual Review,Open
ALT000126,T003842,A0275,A0254,187342,91.0,HIGH,Critical Fraud Alert,2025-01-01 11:06:00,Block Transaction,Under Review
ALT000127,T003875,A0207,A0443,166531,91.25,HIGH,Critical Fraud Alert,2025-01-01 11:07:00,Block Transaction,Open
ALT000128,T003980,A0351,A0238,131696,90.0,HIGH,Critical Fraud Alert,2025-01-01 11:08:00,Block Transaction,Open
ALT000129,T003984,A0315,A0007,229721,77.75,HIGH,Medium Risk Alert,2025-01-01 11:09:00,Monitor,Resolved
ALT000130,T004015,A0398,A0108,123236,90.25,HIGH,Critical Fraud Alert,2025-01-01 11:10:00,Block Transaction,Open
ALT000131,T004024,A0047,A0335,170524,75.25,HIGH,Medium Risk Alert,2025-01-01 11:11:00,Monitor,Under Review
ALT000132,T004041,A0133,A0299,182096,91.5,HIGH,Critical Fraud Alert,2025-01-01 11:12:00,Block Transaction,Open
ALT000133,T004043,A0128,A0047,267994,77.5,HIGH,Medium Risk Alert,2025-01-01 11:13:00,Monitor,Under Review
ALT000134,T004054,A0233,A0220,124414,90.0,HIGH,Critical Fraud Alert,2025-01-01 11:14:00,Block Transaction,Under Review
ALT000135,T004115,A0205,A0299,53654,75.27,HIGH,Medium Risk Alert,2025-01-01 11:15:00,Monitor,Under Review
ALT000136,T004205,A0143,A0353,63373,86.29,HIGH,High Risk Alert,2025-01-01 11:16:00,Manual Review,Under Review
ALT000137,T004218,A0054,A0011,61613,84.87,HIGH,High Risk Alert,2025-01-01 11:17:00,Manual Review,Open
ALT000138,T004233,A0289,A0308,150389,93.68,HIGH,Critical Fraud Alert,2025-01-01 11:18:00,Block Transaction,Resolved
ALT000139,T004264,A0288,A0299,116757,91.0,HIGH,Critical Fraud Alert,2025-01-01 11:19:00,Block Transaction,Under Review
ALT000140,T004266,A0054,A0012,380061,79.25,HIGH,Medium Risk Alert,2025-01-01 11:20:00,Monitor,Open
ALT000141,T004324,A0114,A0257,65027,76.9,HIGH,Medium Risk Alert,2025-01-01 11:21:00,Monitor,Open
ALT000142,T004327,A0214,A0075,245592,79.25,HIGH,Medium Risk Alert,2025-01-01 11:22:00,Monitor,Open
ALT000143,T004328,A0328,A0457,191346,75.56,HIGH,Medium Risk Alert,2025-01-01 11:23:00,Monitor,Resolved
ALT000144,T004333,A0313,A0024,170888,90.5,HIGH,Critical Fraud Alert,2025-01-01 11:24:00,Block Transaction,Open
ALT000145,T004334,A0350,A0356,166165,75.0,HIGH,Medium Risk Alert,2025-01-01 11:25:00,Monitor,Open
ALT000146,T004372,A0357,A0088,180398,93.25,HIGH,Critical Fraud Alert,2025-01-01 11:26:00,Block Transaction,Under Review
ALT000147,T004417,A0418,A0147,354804,81.75,HIGH,High Risk Alert,2025-01-01 11:27:00,Manual Review,Open
ALT000148,T004423,A0160,A0200,343682,77.25,HIGH,Medium Risk Alert,2025-01-01 11:28:00,Monitor,Open
ALT000149,T004426,A0354,A0004,93760,89.25,HIGH,High Risk Alert,2025-01-01 11:29:00,Manual Review,Open
ALT000150,T004433,A0387,A0308,179521,94.75,HIGH,Critical Fraud Alert,2025-01-01 11:30:00,Block Transaction,Under Review
ALT000151,T004489,A0263,A0491,156226,90.0,HIGH,Critical Fraud Alert,2025-01-01 11:31:00,Block Transaction,Under Review
ALT000152,T004597,A0169,A0004,97326,89.25,HIGH,High Risk Alert,2025-01-01 11:32:00,Manual Review,Open
ALT000153,T004679,A0146,A0108,134079,92.25,HIGH,Critical Fraud Alert,2025-01-01 11:33:00,Block Transaction,Open
ALT000154,T004680,A0055,A0237,112960,90.56,HIGH,Critical Fraud Alert,2025-01-01 11:34:00,Block Transaction,Open
ALT000155,T004726,A0045,A0491,146404,89.03,HIGH,High Risk Alert,2025-01-01 11:35:00,Manual Review,Under Review
ALT000156,T004728,A0185,A0257,135511,92.25,HIGH,Critical Fraud Alert,2025-01-01 11:36:00,Block Transaction,Resolved
ALT000157,T004821,A0228,A0238,163267,89.75,HIGH,High Risk Alert,2025-01-01 11:37:00,Manual Review,Open
ALT000158,T004875,A0077,A0177,157138,90.25,HIGH,Critical Fraud Alert,2025-01-01 11:38:00,Block Transaction,Open
ALT000159,T004933,A0078,A0347,83682,79.3,HIGH,Medium Risk Alert,2025-01-01 11:39:00,Monitor,Open
ALT000160,T004992,A0296,A0177,129332,85.39,HIGH,High Risk Alert,2025-01-01 11:40:00,Manual Review,Resolved
ALT000161,T005009,A0162,A0326,291384,77.25,HIGH,Medium Risk Alert,2025-01-01 11:41:00,Monitor,Open
ALT000162,T005010,A0404,A0238,189399,91.0,HIGH,Critical Fraud Alert,2025-01-01 11:42:00,Block Transaction,Open
ALT000163,T005025,A0335,A0240,293067,75.5,HIGH,Medium Risk Alert,2025-01-01 11:43:00,Monitor,Under Review
ALT000164,T005027,A0235,A0177,89991,91.25,HIGH,Critical Fraud Alert,2025-01-01 11:44:00,Block Transaction,Resolved
ALT000165,T005050,A0486,A0238,117227,82.22,HIGH,High Risk Alert,2025-01-01 11:45:00,Manual Review,Open
ALT000166,T005060,A0156,A0108,57961,83.16,HIGH,High Risk Alert,2025-01-01 11:46:00,Manual Review,Open
ALT000167,T005094,A0279,A0079,198182,89.75,HIGH,High Risk Alert,2025-01-01 11:47:00,Manual Review,Open
ALT000168,T005149,A0334,A0237,161466,92.0,HIGH,Critical Fraud Alert,2025-01-01 11:48:00,Block Transaction,Open
ALT000169,T005183,A0264,A0394,57219,89.44,HIGH,High Risk Alert,2025-01-01 11:49:00,Manual Review,Open
ALT000170,T005210,A0329,A0104,308189,77.0,HIGH,Medium Risk Alert,2025-01-01 11:50:00,Monitor,Under Review
ALT000171,T005244,A0104,A0145,454270,77.75,HIGH,Medium Risk Alert,2025-01-01 11:51:00,Monitor,Open
ALT000172,T005245,A0127,A0238,107663,92.25,HIGH,Critical Fraud Alert,2025-01-01 11:52:00,Block Transaction,Open
ALT000173,T005372,A0213,A0240,423121,79.75,HIGH,Medium Risk Alert,2025-01-01 11:53:00,Monitor,Under Review
ALT000174,T005377,A0185,A0238,52913,81.04,HIGH,High Risk Alert,2025-01-01 11:54:00,Manual Review,Resolved
ALT000175,T005432,A0153,A0344,191147,89.5,HIGH,High Risk Alert,2025-01-01 11:55:00,Manual Review,Open
ALT000176,T005475,A0134,A0079,130585,92.5,HIGH,Critical Fraud Alert,2025-01-01 11:56:00,Block Transaction,Under Review
ALT000177,T005499,A0489,A0088,74663,91.5,HIGH,Critical Fraud Alert,2025-01-01 11:57:00,Block Transaction,Open
ALT000178,T005513,A0134,A0457,73038,89.8,HIGH,High Risk Alert,2025-01-01 11:58:00,Manual Review,Open
ALT000179,T005519,A0129,A0056,89447,80.81,HIGH,High Risk Alert,2025-01-01 11:59:00,Manual Review,Open
ALT000180,T005573,A0229,A0491,102212,82.91,HIGH,High Risk Alert,2025-01-01 12:00:00,Manual Review,Under Review
ALT000181,T005605,A0239,A0021,290181,79.5,HIGH,Medium Risk Alert,2025-01-01 12:01:00,Monitor,Under Review
ALT000182,T005608,A0168,A0465,130449,91.75,HIGH,Critical Fraud Alert,2025-01-01 12:02:00,Block Transaction,Under Review
ALT000183,T005680,A0148,A0079,124118,82.02,HIGH,High Risk Alert,2025-01-01 12:03:00,Manual Review,Open
ALT000184,T005715,A0273,A0220,72479,79.43,HIGH,Medium Risk Alert,2025-01-01 12:04:00,Monitor,Under Review
ALT000185,T005759,A0403,A0156,183269,77.5,HIGH,Medium Risk Alert,2025-01-01 12:05:00,Monitor,Open
ALT000186,T005763,A0064,A0458,176339,76.5,HIGH,Medium Risk Alert,2025-01-01 12:06:00,Monitor,Resolved
ALT000187,T005786,A0294,A0254,95682,78.04,HIGH,Medium Risk Alert,2025-01-01 12:07:00,Monitor,Resolved
ALT000188,T005866,A0310,A0394,93437,79.76,HIGH,Medium Risk Alert,2025-01-01 12:08:00,Monitor,Open
ALT000189,T005932,A0274,A0465,185170,90.66,HIGH,Critical Fraud Alert,2025-01-01 12:09:00,Block Transaction,Open
ALT000190,T005939,A0008,A0056,115851,89.0,HIGH,High Risk Alert,2025-01-01 12:10:00,Manual Review,Open
ALT000191,T005944,A0365,A0177,60137,81.05,HIGH,High Risk Alert,2025-01-01 12:11:00,Manual Review,Open
ALT000192,T006004,A0053,A0394,196069,94.5,HIGH,Critical Fraud Alert,2025-01-01 12:12:00,Block Transaction,Under Review
ALT000193,T006017,A0083,A0353,191816,91.5,HIGH,Critical Fraud Alert,2025-01-01 12:13:00,Block Transaction,Open
ALT000194,T006104,A0426,A0234,155972,92.25,HIGH,Critical Fraud Alert,2025-01-01 12:14:00,Block Transaction,Open
ALT000195,T006154,A0356,A0056,152881,91.0,HIGH,Critical Fraud Alert,2025-01-01 12:15:00,Block Transaction,Under Review
ALT000196,T006163,A0269,A0114,423100,77.75,HIGH,Medium Risk Alert,2025-01-01 12:16:00,Monitor,Open
ALT000197,T006189,A0440,A0024,117081,81.73,HIGH,High Risk Alert,2025-01-01 12:17:00,Manual Review,Resolved
ALT000198,T006211,A0458,A0433,128140,83.62,HIGH,High Risk Alert,2025-01-01 12:18:00,Manual Review,Open
ALT000199,T006273,A0186,A0257,65310,79.5,HIGH,Medium Risk Alert,2025-01-01 12:19:00,Monitor,Resolved
ALT000200,T006291,A0420,A0443,171855,90.5,HIGH,Critical Fraud Alert,2025-01-01 12:20:00,Block Transaction,Open
ALT000201,T006329,A0466,A0056,121210,86.27,HIGH,High Risk Alert,2025-01-01 12:21:00,Manual Review,Open
ALT000202,T006355,A0352,A0099,370747,77.0,HIGH,Medium Risk Alert,2025-01-01 12:22:00,Monitor,Resolved
ALT000203,T006370,A0386,A0394,153656,84.47,HIGH,High Risk Alert,2025-01-01 12:23:00,Manual Review,Open
ALT000204,T006389,A0201,A0079,151549,89.75,HIGH,High Risk Alert,2025-01-01 12:24:00,Manual Review,Under Review
ALT000205,T006391,A0367,A0405,388025,77.0,HIGH,Medium Risk Alert,2025-01-01 12:25:00,Monitor,Resolved
ALT000206,T006425,A0095,A0353,105536,89.75,HIGH,High Risk Alert,2025-01-01 12:26:00,Manual Review,Open
ALT000207,T006451,A0448,A0238,156088,93.0,HIGH,Critical Fraud Alert,2025-01-01 12:27:00,Block Transaction,Open
ALT000208,T006489,A0096,A0238,157781,92.5,HIGH,Critical Fraud Alert,2025-01-01 12:28:00,Block Transaction,Under Review
ALT000209,T006507,A0458,A0130,389158,78.0,HIGH,Medium Risk Alert,2025-01-01 12:29:00,Monitor,Open
ALT000210,T006553,A0248,A0024,184130,89.82,HIGH,High Risk Alert,2025-01-01 12:30:00,Manual Review,Resolved
ALT000211,T006593,A0214,A0483,195350,90.5,HIGH,Critical Fraud Alert,2025-01-01 12:31:00,Block Transaction,Under Review
ALT000212,T006608,A0262,A0079,151493,89.03,HIGH,High Risk Alert,2025-01-01 12:32:00,Manual Review,Open
ALT000213,T006714,A0334,A0254,185785,91.5,HIGH,Critical Fraud Alert,2025-01-01 12:33:00,Block Transaction,Open
ALT000214,T006754,A0209,A0299,391265,91.5,HIGH,Critical Fraud Alert,2025-01-01 12:34:00,Block Transaction,Under Review
ALT000215,T006781,A0500,A0065,115430,86.29,HIGH,High Risk Alert,2025-01-01 12:35:00,Manual Review,Open
ALT000216,T006805,A0218,A0177,83953,92.0,HIGH,Critical Fraud Alert,2025-01-01 12:36:00,Block Transaction,Under Review
ALT000217,T006811,A0413,A0328,152283,86.11,HIGH,High Risk Alert,2025-01-01 12:37:00,Manual Review,Open
ALT000218,T006831,A0341,A0056,179365,89.25,HIGH,High Risk Alert,2025-01-01 12:38:00,Manual Review,Open
ALT000219,T006845,A0464,A0353,62469,86.03,HIGH,High Risk Alert,2025-01-01 12:39:00,Manual Review,Open
ALT000220,T006971,A0273,A0237,193028,90.75,HIGH,Critical Fraud Alert,2025-01-01 12:40:00,Block Transaction,Under Review
ALT000221,T007042,A0250,A0108,54427,93.5,HIGH,Critical Fraud Alert,2025-01-01 12:41:00,Block Transaction,Under Review
