account_id,relationship_type,occupation,annual_income,age_group,account_purpose,verified_status,kyc_status,device_trust_score,last_login_device,is_trusted_device
A0018,STUDENT,Student,50000,18-25,EDUCATION,VERIFIED,COMPLETED,75,Mobile-Android,TRUE
A0019,GOVERNMENT,Government Official,1200000,36-50,UTILITY,VERIFIED,COMPLETED,90,Desktop-Windows,TRUE
A0020,NGO,Social Worker,600000,26-35,NGO,VERIFIED,COMPLETED,80,Laptop-Chrome,TRUE
A0021,BUSINESS,Retail Owner,1000000,26-35,BUSINESS,VERIFIED,COMPLETED,65,Mobile-Android,TRUE
A0022,GOVERNMENT,Government Official,1200000,36-50,UTILITY,VERIFIED,COMPLETED,90,Desktop-Windows,TRUE
A0023,GOVERNMENT,Government Official,1000000,36-50,UTILITY,VERIFIED,COMPLETED,85,Desktop-Windows,TRUE
A0024,GOVERNMENT,Government Official,1200000,36-50,UTILITY,VERIFIED,COMPLETED,92,Desktop-Windows,TRUE
A0025,PROFESSIONAL,Designer,800000,26-35,PERSONAL,VERIFIED,COMPLETED,75,Mobile-Android,TRUE
A0026,PROFESSIONAL,Engineer,1000000,26-35,PERSONAL,VERIFIED,COMPLETED,95,Mobile-iOS,TRUE
A0027,PROFESSIONAL,Software Developer,1400000,26-35,PERSONAL,VERIFIED,COMPLETED,88,Laptop-Chrome,TRUE
A0028,BUSINESS,Retail Owner,1200000,26-35,BUSINESS,VERIFIED,COMPLETED,70,Mobile-Android,TRUE
A0029,PROFESSIONAL,Teacher,700000,26-35,PERSONAL,VERIFIED,COMPLETED,90,Mobile-Android,TRUE
A0030,BUSINESS,Pharmacist,1000000,26-35,BUSINESS,VERIFIED,COMPLETED,80,Mobile-Android,TRUE
A0031,BUSINESS,Retail Owner,1500000,36-50,BUSINESS,VERIFIED,COMPLETED,75,Desktop-Windows,TRUE
A0032,BUSINESS,CEO,5000000,36-50,BUSINESS,VERIFIED,COMPLETED,60,Laptop-Mac,FALSE
A0033,BUSINESS,Manager,2000000,26-35,BUSINESS,VERIFIED,COMPLETED,80,Desktop-Windows,TRUE
A0034,PROFESSIONAL,Engineer,1000000,26-35,PERSONAL,VERIFIED,COMPLETED,85,Mobile-Android,TRUE
A0035,NGO,Social Worker,600000,26-35,NGO,VERIFIED,COMPLETED,80,Laptop-Chrome,TRUE
A0036,NGO,Founder,800000,36-50,NGO,VERIFIED,COMPLETED,85,Desktop-Windows,TRUE
A0037,BUSINESS,Retail Owner,1000000,26-35,BUSINESS,UNVERIFIED,PENDING,50,Mobile-Android,FALSE
A0038,PROFESSIONAL,Nurse,700000,26-35,PERSONAL,VERIFIED,COMPLETED,80,Mobile-Android,TRUE
A0039,PROFESSIONAL,Lawyer,1500000,26-35,PERSONAL,VERIFIED,COMPLETED,95,Mobile-iOS,TRUE
A0040,GOVERNMENT,Government Official,1200000,36-50,GOVERNMENT,VERIFIED,COMPLETED,95,Desktop-Windows,TRUE
A0041,PROFESSIONAL,Business Owner,3000000,36-50,BUSINESS,VERIFIED,COMPLETED,60,Laptop-Mac,TRUE
A0042,PROFESSIONAL,Doctor,2000000,36-50,PERSONAL,VERIFIED,COMPLETED,100,Mobile-Android,TRUE
A0043,PROFESSIONAL,Teacher,700000,26-35,PERSONAL,VERIFIED,COMPLETED,80,Mobile-Android,TRUE
A0044,PROFESSIONAL,Engineer,1000000,26-35,PERSONAL,VERIFIED,COMPLETED,65,Laptop-Chrome,TRUE
A0045,NGO,Social Worker,600000,26-35,NGO,VERIFIED,COMPLETED,70,Laptop-Chrome,TRUE
A0046,STUDENT,Student,50000,18-25,EDUCATION,VERIFIED,COMPLETED,75,Mobile-Android,TRUE
A0047,PROFESSIONAL,HR Manager,900000,26-35,PERSONAL,VERIFIED,COMPLETED,70,Mobile-Android,TRUE
A0048,BUSINESS,CEO,3000000,36-50,BUSINESS,VERIFIED,COMPLETED,95,Laptop-Mac,TRUE
A0049,PROFESSIONAL,Software Developer,1400000,26-35,PERSONAL,VERIFIED,COMPLETED,85,Laptop-Chrome,TRUE
A0050,BUSINESS,Retail Owner,1500000,26-35,BUSINESS,VERIFIED,COMPLETED,65,Mobile-Android,TRUE
