pattern_type,sender_account,receiver_account,pattern_strength,detected_time,risk_level,description
Fan-Out,A0046,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0047,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0048,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0049,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0050,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0051,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0052,,74,,HIGH,Sender transferred to 74 unique receivers
Fan-Out,A0053,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0054,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0055,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0056,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0057,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0058,,77,,HIGH,Sender transferred to 77 unique receivers
Fan-Out,A0059,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0060,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0061,,64,,HIGH,Sender transferred to 64 unique receivers
Fan-Out,A0062,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0063,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0064,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0065,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0066,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0067,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0068,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0069,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0070,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0071,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0072,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0073,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0074,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0075,,110,,HIGH,Sender transferred to 110 unique receivers
Fan-Out,A0076,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0077,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0078,,71,,HIGH,Sender transferred to 71 unique receivers
Fan-Out,A0079,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0080,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0081,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0082,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0083,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0084,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0085,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0086,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0087,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0088,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0089,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0090,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0091,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0092,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0093,,74,,HIGH,Sender transferred to 74 unique receivers
Fan-Out,A0094,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0095,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0096,,72,,HIGH,Sender transferred to 72 unique receivers
Fan-Out,A0097,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0098,,104,,HIGH,Sender transferred to 104 unique receivers
Fan-Out,A0099,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0100,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0101,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0102,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0103,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0104,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0105,,103,,HIGH,Sender transferred to 103 unique receivers
Fan-Out,A0106,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0107,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0108,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0109,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0110,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0111,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0112,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0113,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0114,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0115,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0116,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0117,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0118,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0119,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0120,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0121,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0122,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0123,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0124,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0125,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0126,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0127,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0128,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0129,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0130,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0131,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0132,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0133,,103,,HIGH,Sender transferred to 103 unique receivers
Fan-Out,A0134,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0135,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0136,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0137,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0138,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0139,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0140,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0141,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0142,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0143,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0144,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0145,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0146,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0147,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0148,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0149,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0150,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0151,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0152,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0153,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0154,,104,,HIGH,Sender transferred to 104 unique receivers
Fan-Out,A0155,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0156,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0157,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0158,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0159,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0160,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0161,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0162,,77,,HIGH,Sender transferred to 77 unique receivers
Fan-Out,A0163,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0164,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0165,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0166,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0167,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0168,,107,,HIGH,Sender transferred to 107 unique receivers
Fan-Out,A0169,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0170,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0171,,73,,HIGH,Sender transferred to 73 unique receivers
Fan-Out,A0172,,77,,HIGH,Sender transferred to 77 unique receivers
Fan-Out,A0173,,75,,HIGH,Sender transferred to 75 unique receivers
Fan-Out,A0174,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0175,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0176,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0177,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0178,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0179,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0180,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0181,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0182,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0183,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0184,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0185,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0186,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0187,,104,,HIGH,Sender transferred to 104 unique receivers
Fan-Out,A0188,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0189,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0190,,105,,HIGH,Sender transferred to 105 unique receivers
Fan-Out,A0191,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0192,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0193,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0194,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0195,,109,,HIGH,Sender transferred to 109 unique receivers
Fan-Out,A0196,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0197,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0198,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0199,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0200,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0201,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0202,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0203,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0204,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0205,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0206,,77,,HIGH,Sender transferred to 77 unique receivers
Fan-Out,A0207,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0208,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0209,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0210,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0211,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0212,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0213,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0214,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0215,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0216,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0217,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0218,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0219,,104,,HIGH,Sender transferred to 104 unique receivers
Fan-Out,A0220,,107,,HIGH,Sender transferred to 107 unique receivers
Fan-Out,A0221,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0222,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0223,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0224,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0225,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0226,,75,,HIGH,Sender transferred to 75 unique receivers
Fan-Out,A0227,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0228,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0229,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0230,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0231,,107,,HIGH,Sender transferred to 107 unique receivers
Fan-Out,A0232,,74,,HIGH,Sender transferred to 74 unique receivers
Fan-Out,A0233,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0234,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0235,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0236,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0237,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0238,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0239,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0240,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0241,,75,,HIGH,Sender transferred to 75 unique receivers
Fan-Out,A0242,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0243,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0244,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0245,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0246,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0247,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0248,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0249,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0250,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0251,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0252,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0253,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0254,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0255,,110,,HIGH,Sender transferred to 110 unique receivers
Fan-Out,A0256,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0257,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0258,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0259,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0260,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0261,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0262,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0263,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0264,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0265,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0266,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0267,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0268,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0269,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0270,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0271,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0272,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0273,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0274,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0275,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0276,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0277,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0278,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0279,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0280,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0281,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0282,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0283,,107,,HIGH,Sender transferred to 107 unique receivers
Fan-Out,A0284,,96,,HIGH,Sender transferred to 96 unique receivers
Fan-Out,A0285,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0286,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0287,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0288,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0289,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0290,,106,,HIGH,Sender transferred to 106 unique receivers
Fan-Out,A0291,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0292,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0293,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0294,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0295,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0296,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0297,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0298,,66,,HIGH,Sender transferred to 66 unique receivers
Fan-Out,A0299,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0300,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0301,,71,,HIGH,Sender transferred to 71 unique receivers
Fan-Out,A0302,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0303,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0304,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0305,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0306,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0307,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0308,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0309,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0310,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0311,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0312,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0313,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0314,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0315,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0316,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0317,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0318,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0319,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0320,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0321,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0322,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0323,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0324,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0325,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0326,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0327,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0328,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0329,,109,,HIGH,Sender transferred to 109 unique receivers
Fan-Out,A0330,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0331,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0332,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0333,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0334,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0335,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0336,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0337,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0338,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0339,,85,,HIGH,Sender transferred to 85 unique receivers
Fan-Out,A0340,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0341,,64,,HIGH,Sender transferred to 64 unique receivers
Fan-Out,A0342,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0343,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0344,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0345,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0346,,103,,HIGH,Sender transferred to 103 unique receivers
Fan-Out,A0347,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0348,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0349,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0350,,73,,HIGH,Sender transferred to 73 unique receivers
Fan-Out,A0351,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0352,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0353,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0354,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0355,,72,,HIGH,Sender transferred to 72 unique receivers
Fan-Out,A0356,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0357,,103,,HIGH,Sender transferred to 103 unique receivers
Fan-Out,A0358,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0359,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0360,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0361,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0362,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0363,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0364,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0365,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0366,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0367,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0368,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0369,,79,,HIGH,Sender transferred to 79 unique receivers
Fan-Out,A0370,,101,,HIGH,Sender transferred to 101 unique receivers
Fan-Out,A0371,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0372,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0373,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0374,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0375,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0376,,98,,HIGH,Sender transferred to 98 unique receivers
Fan-Out,A0377,,74,,HIGH,Sender transferred to 74 unique receivers
Fan-Out,A0378,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0379,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0380,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0381,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0382,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0383,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0384,,80,,HIGH,Sender transferred to 80 unique receivers
Fan-Out,A0385,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0386,,100,,HIGH,Sender transferred to 100 unique receivers
